BCRNAME;abd_ppy_median;abd_ppy_lower;abd_ppy_upper;bird_id
TAIGA SHIELD AND HUDSON PLAINS;-2.44627529328539;-4.6052021933833;-1.20864000970927;Canada Goose
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.0747021012001871;-0.419141649389554;0.548389501932834;Canada Goose
BOREAL SOFTWOOD SHIELD;0.236292842677308;-0.611107787613135;1.19437801177937;Canada Goose
BOREAL HARDWOOD TRANSITION;0.987855161749637;0.479422647627468;1.66719285021361;Canada Goose
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;1.48671997463279;0.926166352976409;2.28006185384915;Mute Swan
BOREAL HARDWOOD TRANSITION;2.51996025876114;0.493345844524098;6.26630925449766;Mute Swan
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL HARDWOOD TRANSITION;2.82961469771004;1.1495108637373;4.28985074702293;Trumpeter Swan
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;2.93276414085136;2.34257696264896;3.65772609599504;Trumpeter Swan
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;-0.639100215361562;-2.253264373111;0.627290798365854;Wood Duck
BOREAL HARDWOOD TRANSITION;-0.0813055011789335;-0.948789071977078;1.22035643759097;Wood Duck
TAIGA SHIELD AND HUDSON PLAINS;0.288667220446711;-0.666117326531703;1.54796268289009;Wood Duck
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.405284986763278;-0.0871141635785411;0.865454163074952;Wood Duck
BOREAL HARDWOOD TRANSITION;-1.11391517701138;-3.55358423127167;0.935574007295481;Blue-winged Teal
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;1.25268049386677;0.194635342170162;2.0905354463802;Blue-winged Teal
BOREAL SOFTWOOD SHIELD;2.60551152420647;0.576744880187451;3.36525991474926;Blue-winged Teal
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.82744262761944;-3.53828917436229;-1.27335279202234;Gadwall
TAIGA SHIELD AND HUDSON PLAINS;0.326938065350671;-2.43326420461476;3.35773172600687;Gadwall
BOREAL SOFTWOOD SHIELD;0.387293827452076;-2.4098970533252;4.07123207829025;Gadwall
BOREAL HARDWOOD TRANSITION;1.82025206773367;-0.0363698150028594;3.5528366037218;Gadwall
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.37991604900108;-2.75371545003919;-0.445396011799588;American Wigeon
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
TAIGA SHIELD AND HUDSON PLAINS;-3.39134795213085;-4.39364915380472;-1.7879195818467;Mallard
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.09635214132166;-2.66477759520682;-1.56665975332846;Mallard
BOREAL HARDWOOD TRANSITION;-1.40319740727736;-2.14052539503588;-0.661354894407421;Mallard
BOREAL SOFTWOOD SHIELD;-1.23690738285518;-1.76998190957863;-0.597503603801034;Mallard
